data,titolo,descrizione,relatore,streaming,download
2013-06-30,Relazione di cuore,/,P.M.,/,https://mega.nz/#!AF5iSCJJ!VqvL_kYKZCAxBqdEuiHIrh5drTBuErBXtvLxZSqe3fU
2013-07-07,Tu non sei da meno,/,P.M.,/,https://mega.nz/#!kNJhiTIS!YMIwwOWlLeGY_cDt-_iRhVM-c1rCjQtE2cascn8Vd0U
2013-07-21,Le dieci vergini,/,P.M.,/,https://mega.nz/#!ZdJjlTBL!QosalWFd24Nn9FmsXvX2m4uvVtVHLtIVKpF_LWKiFfU
2013-07-28,Gratitudine o identità,/,P.M.,/,https://mega.nz/#!4UIHhb4J!kEVWnFx7M3ztZS1JxsCgQaW-zBkqDwQ6LbIayrdkkx0
2013-08-11,Perchè mi chiamate Signore,/,G.P.,/,https://mega.nz/#!4YBAxJrR!OoiOodPWGLZiiwjAgq2c8Jc-GwAFvk8eJG8VJsbTH5o
2013-08-18,Chi è la tua gloria,/,P.M.,/,https://mega.nz/#!hcIDTbAJ!RQqtY2QLQh3jXonSAYDzcQ4e2XYyX47hyygOS-fRcU8
2013-08-25,La trave e la pagliuzza,/,P.M.,/,https://mega.nz/#!hcIDTbAJ!RQqtY2QLQh3jXonSAYDzcQ4e2XYyX47hyygOS-fRcU8
2013-09-22,Prosperità nella verità,/,P.M.,/,https://mega.nz/#!VIBSgYYb!85iwD4TCGnSGmU_tL-k0RX9rVOmkzDmwFaMk2c5XI8Q
2013-09-29,La pace nella lode,/,P.M.,/,https://mega.nz/#!xJwBHAzT!PdeXOFeDw8sTwa-uLzJ8e2YYdl4XgseovPnIauv0MuA
2013-10-06,La gloria in Te,/,P.M.,/,https://mega.nz/#!QY51GTqK!hcxWT9KZPJIWEUhCxMWoVxRoAE3_AdIsHv4DRVlQlzw
2013-10-13,Potenza e autorità,/,P.M.,/,https://mega.nz/#!ZV5RWZyT!wMcqk20wQ36R8OLTAIJg11WbVavEJnNVHuRG7EgA1EU
2013-10-20,Attiva la tua fede,/,P.M.,/,https://mega.nz/#!NdR0xYAL!lMnZSc1ufFMpH89HMUFuGIbW9wkg93Noeis1FZxnD04
2013-10-27,Alimenta la tua fede,/,P.M.,/,https://mega.nz/#!NdR0xYAL!lMnZSc1ufFMpH89HMUFuGIbW9wkg93Noeis1FZxnD04
2013-11-03,Fede piccola ma viva,/,P.M.,/,https://mega.nz/#!dYh0SQSB!902rKIGLhZveD8bEtxPdYy11WcUwRHtPMbhrFYArVGU
2013-11-10,Zaccheo,/,/,/,https://mega.nz/#!YNomRSBC!YJoGYCL3S-iq-SywaCJ5Tb-Cv8JSrh6SdO4fvWaDFl8
2013-11-17,/,/,P.M.,/,https://mega.nz/#!9I4ClAqK!BrkUMAA3z2ZKUIPu9WJvKgb76uZvjwTc2s_6QU0Biw0
2013-11-24,Il vangelo è ubbidienza,/,P.M.,/,https://mega.nz/#!FV4XCQwA!TX4KwcC21ppG0Fyka7ElgolIIft8WsxZckxnrtEG58Q
2013-12-01,Inizio,/,/,/,https://mega.nz/#!hdxVWaLC!TXiDey8mOyZWZHIlmm9gY2AYU5GA9GzF9ObiruS2cR0
2013-12-08,Uniti siamo forti,/,P.M.,/,https://mega.nz/#!ZJomxCbY!kDyf2dr-rAi1oy5B79E_F4QJJa-jf2qbTgukQFExtCk
2013-12-15,Guarda ciò che non vedi,/,P.M.,/,https://mega.nz/#!ccYgEC6Q!wHqgJhkplt1eai3P6w7hr_DDR6tjEKGBDSCcUkeqZTA
2013-12-22,Teatrino Natalizio,/,G.P.,/,https://mega.nz/#!UZ4y2KYK!FPFNaa5PCikG-8tdJ3Ac1RlIjq38CnWXcAZKSdhy14s
2013-12-25,Natale 2013,/,P.M.,/,https://mega.nz/#!1BIBDbha!p0u5JDuuNhaTAby6haIg8qsuLnDev9XSLMiV47di3s8
2013-12-29,Ottimisti nati,/,/,/,https://mega.nz/#!8M4AGDya!yseOK7a92dJdUHB9lu46XSBFkow4iFt-fNSmbfRyV14
2014-01-05,Ringraziamento come attitudine,/,P.M.,/,https://mega.nz/#!5RBiQThL!rx8QlfsCl-BJbjkb63Am956IP_HA9G4rtpDoW_KYTYY
2014-01-12,/,/,B.F.,/,https://mega.nz/#!gRxnGZIb!NRtzWJgWKr-ozWZJ1TI6KeC1VmbCJUqDIMDmefbbwCU
2014-01-19,Nessuna paura per i credenti,/,P.M.,/,https://mega.nz/#!0QgRnaSI!hsIhvhD2S1JEnvnUzf1C7Q1jQeiI-WKmPl2VJ3_sLJA
2014-01-26,Appartenere al regno,/,P.M.,/,https://mega.nz/#!5YZjlaDY!ShJL1tJx-WSUjfWwFGR4Hz5vJCyEFp4vuhBDnuQDaUU
2014-02-08,Sentinella della città,/,P.M.,/,https://mega.nz/#!BVh1VRaZ!GwCmDzHe7jM_Bb0sTeW1i3-qBXeaEgoxaUCNuOf75iw
2014-02-09,Lo spirito di Izabel,/,P.M.,/,https://mega.nz/#!pIY1hS7C!wiagKl7DFeNL_Lg5cKHlJV3aLYrMKGviXmLyKmMCcKE
2014-02-16,Corteo di vita o morte,/,P.M.,/,https://mega.nz/#!JQgHBaLS!ymEIXS1Q3Rqj_fpffBy6UKH0GYlmXPomr7Qf3XiAIaQ
2014-02-23,La potenza della Grazia,/,P.M.,/,https://mega.nz/#!5AYBxLRQ!GDbNwy8i99prg6QEjgR8cGVOix0JUamtLrKFRDdzy74
2014-03-02,Livelli di preghiera,/,P.M.,/,https://mega.nz/#!MRxlXCiQ!BFl3N3XE2BPxjtL5u5lyiE5uRYFAdz-YOGn4bZqXAQo
2014-03-09,Pregare come Gesù,/,P.M.,/,https://mega.nz/#!1VpCiRzR!2ZzMqRbij0G3JwkO9x0wFGL1hqJ6HxiMOfnoVUBvyQ8
2014-03-16,Grida a Io,/,P.S.,/,https://mega.nz/#!JMhl0SrA!Q240oXIHnDiIohqkkp-0-x6_K2voP164Grob4kr8fQI
2014-03-23,Il fine della Grazia,/,P.M.,/,https://mega.nz/#!0BRxzBoA!RdaRZUb9xENLr59Oyys5h5ed0WI7ZQGQHCZRpMZ4FAY
2014-03-30,Respira la lode a Dio e vivi,/,P.M.,/,https://mega.nz/#!9BJXzCiQ!TklF__X-iGkEgW-v08hRp6AWyrXv4_lGqnN9GxBvge8
2014-04-06,La costanza,/,P.I.,/,https://mega.nz/#!wRokgB7T!JUWADk0cfE09LVYKiPAyZrq22YiLQIwffYP9cs0ly54
2014-04-13,La Gloria si manifesta,/,P.M.,/,https://mega.nz/#!IRx0RJQK!lbNBkesXVfWjLrdM4YoXLCoo47d_f78JL0gmbv_Rfuo
2014-04-18,Ristabilire ogni cosa,/,P.M.,/,https://mega.nz/#!pZAAkR4R!GKUtgq1152SHHJk5we1FrJPC4L2W9R0CRsUHrcTCBqU
2014-04-20,Il libro perduto,/,P.M.,/,https://mega.nz/#!FZ5STaCQ!xdeFQiTrIOAyOVSCb4s9N_Xcrg1hiu0fsdPFpo95It0
2014-04-27,Il ministero della chiesa,/,P.M.,/,https://mega.nz/#!IRgTTILB!eQQrOMWpMQpIEVPGjZMouqg214jdApPuAkK62q0Q0Qw
2014-05-04,Come vedi la folla,/,P.M.,/,https://mega.nz/#!tcJ1STjD!hPKDKLHL81YLZa9pra4XybcrZtNVKTnA1tAflYFGQrM
2014-05-11,Cristo sapienza di Dio,/,G.P.,/,https://mega.nz/#!lBYylD4R!ZvGhYM4ZvHG7pppXoyKMqCJY_N84Q67JdWE5AZBWX34
2014-05-18,PLa preghiera tra fede e testardaggine,/,P.M.,/,https://mega.nz/#!1JBxUZbB!g-LAUAK0CvwD1IlxzpDVaYPg6Xx8uohEMq3e_ee1_RI
2014-05-25,Il battesimo di fuoco,/,P.M.,/,https://mega.nz/#!MIpyRazB!pBUGfLLnSPJ1e4NRQ5ndf3yQ41kaBiI5vyLwTzW95Hg
2014-06-09,Usa la porta del cuore,/,P.M.,/,https://mega.nz/#!FUhzXRgK!X7TvCtBWmWRAKGV9tz7SthXVih_Ypb039Nm78wglVgM
2014-06-13,Sessione 1 conferenza,/,M.D.,/,https://mega.nz/#!RUBVSRzI!hDNENKzMMUv7YRIPeepa2jLx6NblAOa1zNoajuh_s2M
2014-06-29,Umiltà: impariamo da Gesù,/,P.M.,/,https://mega.nz/#!UVRiyZZJ!2LDaCDoATMmj9SE3HMF_Uo11dPvCpTjZTcDSqfoQB1U
2014-07-06,Preparati per essere pronto,/,P.M.,/,https://mega.nz/#!lBQiFZZa!_XkylU7a4Bxyo18d4zUEmVdzlhc_MKfoajvg-Qf1hMQ
2014-07-13,Dio è... Dio,/,G.P.,/,https://mega.nz/#!gQoSlYYQ!tcVZ7CY6WwSX_8MYfim9BTSMW2RP2O8RX06DC7kqaNw
2014-07-20,gesù è il tuo migliore amico,/,B.F.,/,https://mega.nz/#!JQpUDJ6S!ddylgAEeNzMXQ_Mbz9QDsNQjEaPUEYDk09y0I4XeLio
2014-07-27,Quando il cuore arde,/,P.M.,/,https://mega.nz/#!YMBG3AAJ!Gzgt-C5_-9qhX12CX3UBtLjayiodWLK-JLo3LNYxEoA
2014-07-31,Cristo... La roccia!,/,E.M.,/,https://mega.nz/#!tMgW0JSS!RvJZy8yN9iUWOryOoBVqiP4_qSEEFD-FRNIZUK0c4Zs
2014-08-03,Fede che vince il mondo,/,P.M.,/,https://mega.nz/#!EQBDxIID!r1Tyg2yWktY5kUD0P_2HrXiPtqGNOQYtF06Qw2JMkXA
2014-08-10,Ira; giato diabolico,/,P.M.,/,https://mega.nz/#!MM4DwSrI!CNqE503-8zolWYbEidpnGwzqqjHGtu_Ybe5LTFf1xtw
2014-08-17,Serve fiducia,/,P.M.,/,https://mega.nz/#!sdomHLhC!JGEDkovovkzXQ804umxXjzI6yA4PL_JBfSq_de4KnJc
2014-08-24,Ipocrisia o autenticità,/,P.M.,/,https://mega.nz/#!5F5lUYDa!GSklbUEN21DyuNAkOQ8_EsfCZ6a70-oNZgjzlJ8-lNc
2014-09-07,Sostituzione-Separazione-santificazione,/,G.P.,/,https://mega.nz/#!VZBwCbjB!g0Ro30jnrJckzrVpwHNgPCf1qJKAYY5TF6Xx-FOSgGU
2014-09-11,/,/,P.M.,/,https://mega.nz/#!lNJk1aaZ!ImFoR7K9NaFez-zGYwu5c24frHsVQBboHFg1LPYDdac
2014-09-21,Quanti pensieri!,/,P.M.,/,https://mega.nz/#!RAwGTITY!IBLXVC_f7BCmwJBOm86yyumw4RaBKKvDihPytTDltqs
2014-09-28,Vedere la Sua gloria,/,P.M.,/,https://mega.nz/#!lZ4HHTpL!FqdWWxqyOojphaC_4wG1e__j9ia_GVJVXVi0yrZtfkQ
2014-10-05,La gloria di Gesù,/,P.M.,/,https://mega.nz/#!pRwnECQb!hRduOK1EiwAwdcnkmz9d926lXYNlGcfUSgO3Q3cx53M
2014-10-12,Segui Gesù,/,P.M.,/,https://mega.nz/#!pRwnECQb!hRduOK1EiwAwdcnkmz9d926lXYNlGcfUSgO3Q3cx53M
2014-10-19,Benefici che abbiamo in Gesù,/,B.F.,/,https://mega.nz/#!4VpUnKyQ!6iwEGDcsiELQHjEP7zZxLK722DiC7M7eQINhI3mFc0I
2014-10-26,Il potere dell'abbraccio,/,P.M.,/,https://mega.nz/#!5UIyQQ4R!XWfjZSlibXA1VCkIPjMySoRPB3r3eAl7L6CH6XAGMAg
2014-11-02,Risorgi Risvegliati Rispondi!,/,P.M.,/,https://mega.nz/#!NZxARApK!F6ReCRyLKyHDi7iYKWLygX4y5kOd6zhu1S2h4zhATsk
2014-11-09-Sconfitti, senza guerra,/,P.M.,/,https://mega.nz/#!QII2DTYD!h38zERML_vvJjbOFxCOpbcUljFUFZBWzMvQSlellPoM
2014-11-16,La festa con Dio - Il battesimo,/,P.M.,/,https://mega.nz/#!BdxGiJgI!x0uTs5gbit7c2d1rxExlGukOr4OSEA7qfQlV0H3oWEA
2014-11-23,Convivere tra le generazioni,/,P.M.,/,https://mega.nz/#!QII2DTYD!h38zERML_vvJjbOFxCOpbcUljFUFZBWzMvQSlellPoM
2014-11-30,Il lucignolo fumante,/,P.M.,/,https://mega.nz/#!sBYh1ZKR!4Hbd3lbOdPQCyIq06tZbZ9vLBG9WBpC0yOEC_s0X-p0
2014-12-07,Chi è Gesù per te,/,P.M.,/,https://mega.nz/#!ANR1jKpR!NZ8zcV0GbivhXhkbsBTgShh6xvaSOuO5zD49hPbLtRY
2014-12-14,Rafforzati nella Fede,/,P.M.,/,https://mega.nz/#!gY4SnLoa!IKDl6_xSZZM7gVOnpOXTLBLp9V3x2kZdi4KIAgesdL0
2014-12-21,Simeona - colui che ascolta,/,P.M.,/,https://mega.nz/#!4c4BSCxC!Kk0cop_3gfD80i9EWGNKDj-IPYo3zYxpyiDi2O88Ym4
2014-12-28,Gratitudine come attitudine,/,P.M.,/,https://mega.nz/#!8MoXDL5J!VLP_M0of1RnEBhVZTfVRLP7TBOw5ttXpeA6nHAyDnQU
2015-01-04,Proclama la bontà di Dio,/,Past. Marco Lienhard,/,https://mega.nz/#!dUxAgYyZ!BigBx5kkBNkdXwsOHPiAP4NwhJukzvjSOtwGZFDNhe0
2015-01-11,Rhema 2015 - I rampolli di Dio,/,Past. Marco Lienhard,/,https://mega.nz/#!lNwwhBYa!_Q1fPfR0xaKd34Z2EwXrtNoHTqu774NBiF1HwANPKHU
2015-01-18,Dio ti ama - Non dubitarne,/,Past. Kurt Locher,/,https://mega.nz/#!QApg0L6Z!1jkUyMpm6EL_hBwqCOHQgynUvkEevYrCB21gIOpa6Xg
2015-01-25,Gesù - l'uomo di dolore,/,Past. Marco Lienhard,/,https://mega.nz/#!ZEoyCbyZ!MTWkCGZxi9dbf8FenY4_22btE4qKTGH-XUXGtFFlHzE
2015-02-01,Cieli aperti per servire,/,Past. Marco Lienhard,/,https://mega.nz/#!wI5mVTZT!iFU5kC1g5yj8TnDAlJFxRjQVIyV1WBv3vu3X26vB2PE
2015-02-08,Dio - Il mio papà celeste,/,Past. Marco Lienhard,/,https://mega.nz/#!gZw2zTJL!J3aAbcq6zv9BAVHLkZK5w7H6AjsV8s3fRikHZRgXFKQ
2015-02-22,Gesù - L'uomo di dolore,/,Anz Giovanni Puntillo,/,https://mega.nz/#!kJhiUQjC!tJTiIE7hbFk1ZGWHp03gMwcdOm8jdBgqelqnBoavgBc
2015-03-08,Fede e guarigione,/,Past. Marco Lienhard,/,https://mega.nz/#!cN5xwC6b!SS44qeCukla1tDcT-NScHkI1RDvtFNXZLjjbRNbkDMU
2015-03-15,Fede che opera per amore,/,Past. Marco Lienhard,/,https://mega.nz/#!tB4zmKpB!HUPsgvDEfkf0P46whIjwrukAI7O-UeCALTJ8vax5vMs
2015-03-22,Le quattro prove della Fede,/,Past. Marco Lienhard,/,https://mega.nz/#!wMIxDaQZ!IswhNYsADNh1e3_lXFOiuk6fJNQtoQIlMDgIxEKcJAg
2015-03-29,Integrità,/,G.K.,/,https://mega.nz/#!sFIEDDRa!PWiO1jACRw2QfGLsN3bx0G7ZPiiJML1oKNL4G0xroGQ
2015-04-05,Speranza e potenza,/,Past. Marco Lienhard,/,https://mega.nz/#!4ZJCVLZS!SGYZ-mCLvS0-vbwbTFrwMZeKhd0GfCP9A-qJ1lP_JOg
2015-04-12,Manda me,/,M.A.,/,https://mega.nz/#!0BRhVCSR!K0Gaou3_vA-YhE178648PtQeX5FcATaLWMgeQvzMlZ8
2015-04-19,Scudo di Fede,/,Past. Marco Lienhard,/,https://mega.nz/#!0BRhVCSR!K0Gaou3_vA-YhE178648PtQeX5FcATaLWMgeQvzMlZ8
2015-04-26,Rendere grazie in ogni cosa,/,A.B.F,/,https://mega.nz/#!ZQp3zI5Q!7Ti5CQAdoSGDHgrn-vOLOHy4TLa6Z9ioARQubwf6sHA
2015-05-03,Il risveglio nel cuore,/,Past. Marco Lienhard,/,https://mega.nz/#!kYY03bZa!ueMY0Tbgq9TwuqQh6prbk-VQY5rxfaq98nXN8Jje_Ng
2015-05-10,Cercando il Risveglio,/,Anz. Giovanni Puntillo,/,https://mega.nz/#!RQhDSICY!NUMA2m0UztkA6LjRp4c8tDkBYlGZ4TNSKyAjAolXgv4
2015-05-17,Trasformati alla presenza di Dio,/,Past. Marco Lienhard,/,https://mega.nz/#!wEISnABD!cktqTC_Sdyw15BQSNE3xds36M7WFbzmhfGJCiVUd0nw
2015-05-25,Abbondanza senza fine,/,Past. Marco Lienhard,/,https://mega.nz/#!1UwjGRQB!805FN4lRkQSmGyTP7gWBrfK_I9hW4KvW5INq1XC3jcE
2015-05-31,Guarigione dalla depressione,/,Past. Marco Lienhard,/,https://mega.nz/#!IAwFhRKY!WRODq4iVm-QIq7LEjSAMnaUb5583FNbEWnOJDOTS3PY
2015-06-07,Teneri e potenti,/,Past. Marco Lienhard,/,https://mega.nz/#!cQIgkTwK!v41RacRSRXV5PtKqTQYZoqybxR7ayyp_dL_PXbjqOlc
2015-06-14,Non mi vergogno,/,Past. Marco Lienhard,/,https://mega.nz/#!RVBzBCyb!Og3LtCqiuH9yX4IXaTItWw_4z6H5VrSq5YEMh17S4-8
2015-06-21,Niente è impossibile,/,Past. Marco Lienhard,/,https://mega.nz/#!dAJyhS4T!TbdCN3SNvtwoGOzAen6JaZp2cegcZQ2verWsVGzQhaw
2015-06-28,Il mandato,/,Anz. Giovanni Puntillo,/,https://mega.nz/#!4c4CETqI!ndyOBFfHQ98GltXAwIL2v8mXYQ3s2DkBCCNhomsKLyA
2015-07-12,Rivestirsi di Cristo,/,Past. Marco Lienhard,/,https://mega.nz/#!dJRAUAKL!MbG8oRSCPTi6n5u4ghNUAXW5u20kp_k0N2bL9jXrTLI
2015-07-19,Regnati per regnare,/,Past. Marco Lienhard,/,https://mega.nz/#!VZpiFBhZ!ePj8viadfBrjC21yIOLBvjNCB3QD_Lujo8_fS-EgYPA
2015-07-26,Pane spezzato,/,Past. Marco Lienhard,/,https://mega.nz/#!lURClA5A!nigGXrdqbrL-kGn1neetiSD0oWS0X64Zg_3zNknX2Mc
2015-08-02,Preparare la gloria (Shekinah),/,Past. Marco Lienhard,/,https://mega.nz/#!IMJERTjT!zxSFTyFzJL2HVsE8EqyCGVus5uzr1ttmvm_lXKyppUw
2015-08-09,Primo amore,/,Past. Marco Lienhard,/,https://mega.nz/#!MMQjmZAR!75bEdfxRwo12F9J9tQ9hJC3TYIcRI6W-3IzwGDmoEQI
2015-08-23,Riposo-Ricompensa-Resurrezione!- La morte in Cristo,/,Past. Marco Lienhard,/,https://mega.nz/#!IZJynCDS!4GBWHAwooSbQXT5DTbC9-11qrgrhVh7NFGwmvzFdk7s
2015-09-06,Imparare l'ubbidienza,/,Past. Marco Lienhard,/,https://mega.nz/#!9VRnhIgK!A_7IMW0bx2uhB7XbNsdJ792xzwbn2IDEBPuGWk5FLo0
2015-09-13,Atti 934,/,Past. Marco Lienhard,/,https://mega.nz/#!hc5jUIra!NYRtw4xU1-aND0MfMImSZkRyvFhtgcn5ASeP1xINE00
2015-09-20,Imitatori di Cristo,Imitare Cristo,Past. Marco Lienhard,/,https://mega.nz/#!gIAShYqQ!-aHoSNarhQFBjdtcfztXIh4qsAUCjuu1t5qihXWDPjY
2015-09-27,Conoscere Cristo per adorare,Quanto conosci Gesù?,Past. Marco Lienhard,/,https://mega.nz/#!UcBhzRgL!DqZG7UseC7Qmx5VAyxSd33N3wipTCyD9PZXOWCpQRzE
2015-10-04,Gesù pane di vita!,Che cosa significa mangiare Gesù,Past. Marco Lienhard,/,https://mega.nz/#!RQBFDAjR!_MX2fQe4RvvUfBNhdGOa8Ow7uE1QyKgM_un4cwXiH1c
2015-10-11,Gesù crea e perfeziona la fede,Gesù creatore e computore della nostra fede,Past. Marco Lienhard,/,https://mega.nz/#!kFQWnRSS!vMtxmsu-y6oIEjM45m9c7OCK-LaNgOhzejipBOJU9DU
2015-10-18,Gesù fa ogni cosa bene.,Ciò che Gesù fa nelle nostre vite,Past. Marco Lienhard,/,https://mega.nz/#!URoT2JiZ!NySXqW-APLrIH7EdzObjpnphYMCszYctcyqjd2NhPtU
2015-10-25,L'ubbidienza di Naaman,L'ubbidienza alla verità purifica l'anima nostra,Past. Marco Lienhard,/,https://mega.nz/#!AMJT2BYT!iPG_2QmNb21eH3EjHx2aNNxy7mhJMa7erCdZcr2e7ms
2015-11-01,Gesù nel tempio,Privilegi e responsabilità di essere il Tempio dello Spirito Santo,Past. Marco Lienhard,/,https://mega.nz/#!JNBzgAjL!3lKphnlw4GY-P5z2fZQAKC3c_AOSeR0LKvp61W7CNRg
2015-11-08,Acque di salvezza,Il patto di sandue ed il patto dell'acqua,Past. Marco Lienhard,/,https://mega.nz/#!1J5jDR6Q!yJCX7cOW9ACN6ESLrJqgVEuag6ct5Z5Bwx7tLTnvhjA
2015-11-15,La cura di Dio,Come si prende cura Dio delle persone,Anz. Bruno Fucilla,/,https://mega.nz/#!xRZwUI4K!Ub3iRnel0afnkLrjvCqV73wB8ixIwj3n_DTjoqwkvMU
2015-11-29,Confidenza con Gesù,Tre livelli di confidenza e come accrescerla,Past. Marco Lienhard,/,https://mega.nz/#!ZMJh3JxK!okjTYmZolJUOJDmI31W8vZCIxHFkiE0Y4tlv_PCLjYM
2015-12-06,Sei luce del mondo,/,Past. Marco Lienhard,/,https://mega.nz/#!YRJSABYQ!51O9iFGhHqLsY5oxPvCYxKcQqhs3_pq7qTUyeaFVH_8
2015-12-13,La potenza della preghiera,/,Past. Marco Lienhard,/,https://mega.nz/#!hdAHjTiI!5N6iK_imhTNLDxCU0dUEa0USSmfxsN8NCzj2i_GsUiI
2015-12-20,La fonte della speranza,/,Past. Marco Lienhard,/,https://mega.nz/#!gdQ1kBAZ!oAbSgZviXgMhEagZaiC-RpdMFiWpf5IqarlmehKus8U
2015-12-25,La storia dell'armonica,/,Past. Marco Lienhard,/,https://mega.nz/#!ZAAFQCQI!bzlAQGxB5pXaHbTMyJH63w3PyQIurNkQEmL6oxS6r6k
2015-12-27,Tempi e scelte,/,Past. Marco Lienhard,/,https://mega.nz/#!5cpVnK5b!lwXiFQy5f8SXOH2FMHrRJHCdqRmLgoiWz-omhOvkfjQ
2016-01-03,Culto di ringraziamento,/,Past. Marco Lienhard,/,https://mega.nz/#!tdJgSCSI!0MBzTw5-hrzYwjqpgXVrmNFJwPV-y7oA81eDKO7rLqA
2016-01-10,Pace nel mandato,/,Past. Marco Lienhard,/,https://mega.nz/#!BERHjQqS!2Iysd0GMHem_FKihurCwuURFHh34j1lTWPBXabqsAg0
2016-01-17,La chiave dell'eternità,/,Past. Marco Lienhard,/,https://mega.nz/#!4d5UBQIS!je68KaSp-_kzYC3LfnclMtwM3oAlOtfAsZJtdKZBDvo
2016-01-24,L'arte della riconciliazione,/,Past. Marco Lienhard,/,https://mega.nz/#!Jcwi3CZL!2B3rGYDOZxhZv-C4WQupEiCQySdyP7IwhUe1VhC-inw
2016-01-31,Scelti con criterio,/,Past. Marco Lienhard,/,https://mega.nz/#!hdwHXbpZ!LqhBCj-tfu5YQ2fMc8q5DvBHEhewGTzj-EMK8wQogAM
2016-02-07,Il vestito da nozze,/,Past. Marco Lienhard,/,https://mega.nz/#!UQxmiD6T!pDtI07WgWFoz5WN_iT8zwPoh3DvG2nfI7vCHp0mA--U
2016-02-14,L'anima contesa,/,Past. Marco Lienhard,/,https://mega.nz/#!cRJSRZCR!zVxiQ1O-5uHP1mepEAcwAIkuRee7_MfO_xddVaJflmc
2016-02-21,Verità ubbidienza e riconciliazione,/,Anz. Bruno Fucilla,/,https://mega.nz/#!kVh3FCCI!H5QPSbcfgMqaWIBoMVK6V2G-rSz9GCQJDOY-mrgQ27U
2016-02-28,Approvati da Dio,/,Past. Marco Lienhard,/,https://mega.nz/#!URIWTapB!IIg-fmyJw8tK6gU5nWs7MC4hkudKJUSZ5_v_UeeCy4g
2016-03-06,Quando la fede cresce,/,Past. Marco Lienhard,/,https://mega.nz/#!AVAxWAJS!c6mX5d485Cb5Z80x-72XMnpaqVmP-gcYO7gbf9RUt3Q
